"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 8 Southside Central",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Mhairi HUNTER","31","21","12","8","2","0","0","0","2","0"
"David Mansfield JAGO","1","2","5","5","3","5","1","2","2","3"
"Anne-Marie MILLAR","9","20","51","2","3","2","2","0","0","2"
"James SCANLON","162","22","7","2","2","1","2","0","0","0"
"Soryia SIDDIQUE","11","117","15","6","2","2","1","2","0","1"
"BOX 160 & 161","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","8","1","10","7","4","2","3","1","1","2"
"Thomas Muirhead CONNOR","4","4","2","3","3","3","0","0","4","5"
"Moira Ann CRAWFORD","10","7","18","10","5","2","1","0","2","0"
"Jean DOUGLAS","2","1","2","4","3","1","2","4","0","3"
"Jahangir HANIF","21","40","15","7","2","2","0","2","1","0"
"Mhairi HUNTER","40","30","12","7","7","1","1","1","1","0"
"David Mansfield JAGO","4","3","10","6","4","5","3","2","2","0"
"Anne-Marie MILLAR","17","20","39","5","1","1","4","1","0","0"
"James SCANLON","159","20","11","2","1","1","1","1","0","0"
"Soryia SIDDIQUE","8","120","13","11","2","3","1","0","1","0"
"BOX 162","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","5","2","7","6","4","1","2","1","1","0"
"Thomas Muirhead CONNOR","2","2","0","1","1","0","1","2","2","2"
"Moira Ann CRAWFORD","5","8","8","7","3","4","1","0","2","0"
"Jean DOUGLAS","2","1","3","1","0","0","1","1","1","4"
"Jahangir HANIF","35","41","21","3","2","0","0","0","1","0"
"Mhairi HUNTER","44","40","7","6","1","0","1","2","0","0"
"David Mansfield JAGO","1","2","3","5","1","3","0","0","1","0"
"Anne-Marie MILLAR","20","14","36","2","3","1","3","1","0","0"
"James SCANLON","149","12","15","7","4","0","0","0","0","0"
"Soryia SIDDIQUE","7","118","8","5","2","2","1","1","0","1"
"BOX 163","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","2","5","11","2","2","2","1","3","2","1"
"Thomas Muirhead CONNOR","6","1","2","3","1","2","3","2","1","6"
"Moira Ann CRAWFORD","7","8","17","7","6","1","3","1","0","0"
"Jean DOUGLAS","3","5","5","3","1","2","1","2","5","0"
"Jahangir HANIF","18","41","16","6","1","1","0","0","1","0"
"Mhairi HUNTER","44","22","8","5","3","1","1","0","0","1"
"David Mansfield JAGO","2","3","7","2","6","4","1","2","1","1"
"Anne-Marie MILLAR","21","5","26","5","1","2","1","1","1","2"
"James SCANLON","131","30","11","3","0","1","0","1","0","0"
"Soryia SIDDIQUE","15","111","8","7","2","1","1","0","1","0"
"BOX 164","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","8","1","9","4","1","2","2","2","2","1"
"Thomas Muirhead CONNOR","9","5","3","3","1","1","1","3","1","2"
"Moira Ann CRAWFORD","8","9","32","19","4","1","1","1","0","0"
"Jean DOUGLAS","1","3","5","2","1","1","1","0","3","2"
"Jahangir HANIF","33","61","15","8","2","1","0","0","0","1"
"Mhairi HUNTER","68","38","18","8","0","1","1","0","0","0"
"David Mansfield JAGO","0","7","5","6","3","0","2","1","1","0"
"Anne-Marie MILLAR","24","17","40","6","1","3","0","1","0","0"
"James SCANLON","83","17","11","2","1","2","1","0","2","1"
"Soryia SIDDIQUE","2","64","9","6","3","0","3","2","0","1"
"BOX 165","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","5","3","6","8","3","0","2","1","1","0"
"Thomas Muirhead CONNOR","5","0","3","1","2","0","0","1","1","2"
"Moira Ann CRAWFORD","4","12","19","2","3","4","3","0","0","0"
"Jean DOUGLAS","1","0","4","1","0","2","0","0","2","1"
"Jahangir HANIF","22","38","13","8","1","3","0","1","1","0"
"Mhairi HUNTER","41","26","17","9","0","0","2","1","0","0"
"David Mansfield JAGO","0","2","5","5","2","1","1","2","0","1"
"Anne-Marie MILLAR","17","13","23","1","4","1","2","1","0","1"
"James SCANLON","106","14","14","6","1","0","0","1","0","0"
"Soryia SIDDIQUE","8","85","9","5","3","0","1","0","1","0"
"BOX 166","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"William BONNAR","3","2","13","7","7","4","1","4","6","0"
"Thomas Muirhead CONNOR","5","4","3","2","3","6","2","7","2","3"
"Moira Ann CRAWFORD","16","13","19","17","9","5","4","0","1","1"
"Jean DOUGLAS","2","0","5","6","0","2","3","4","4","6"
