"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 5 Govan",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,,
"BOX 097","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","98","44","20","8","2","2","0","0","1","0","0","0","0","0"
"Finlay ARCHIBALD","2","2","4","1","0","2","2","0","1","0","0","2","1","0"
"Jesper BACH","3","9","10","5","2","1","2","3","0","0","0","0","0","0"
"Shaukat BUTT","7","17","5","12","3","1","1","1","1","1","0","1","0","0"
"Stephen DORNAN","74","28","20","11","3","0","1","1","0","1","1","0","0","0"
"Joyce DRUMMOND","5","6","6","6","2","2","0","0","1","1","1","1","0","0"
"John FLANAGAN","28","18","23","3","1","0","1","1","1","1","0","1","0","0"
"Alan HUGHES","3","6","4","3","0","0","0","1","2","2","2","0","0","1"
"Allison HUNTER","45","25","30","4","2","1","1","0","0","1","0","0","0","0"
"Jonathan MACKIE","32","36","13","6","3","1","1","0","0","0","1","0","0","0"
"Tahir MOHAMMED","2","22","43","6","5","3","0","1","0","0","1","1","0","0"
"Harriet MURDOCH","3","0","6","4","2","0","1","0","0","0","0","0","1","4"
"Fariha THOMAS","14","70","42","6","3","4","0","0","0","0","0","0","0","0"
"Chris YOUNG","1","2","6","1","1","0","1","0","0","0","0","0","4","1"
"BOX 098 & 099","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","58","36","20","8","1","1","0","0","0","0","0","0","0","0"
"Finlay ARCHIBALD","4","4","3","8","0","0","0","2","0","1","1","0","0","0"
"Jesper BACH","7","6","9","19","2","0","1","0","0","1","1","0","0","0"
"Shaukat BUTT","5","7","7","4","0","3","0","1","1","0","1","0","0","0"
"Stephen DORNAN","31","27","14","9","5","1","3","1","0","0","0","0","0","0"
"Joyce DRUMMOND","2","4","3","3","4","0","0","0","2","1","0","1","0","0"
"John FLANAGAN","49","15","10","10","2","0","0","1","0","1","0","0","1","1"
"Alan HUGHES","5","1","5","3","1","1","0","0","1","0","0","0","1","1"
"Allison HUNTER","58","50","34","4","1","1","0","0","0","1","0","0","0","0"
"Jonathan MACKIE","48","57","23","13","2","0","0","0","0","0","1","0","0","0"
"Tahir MOHAMMED","15","27","73","9","2","0","0","0","0","0","0","1","1","0"
"Harriet MURDOCH","5","3","9","1","1","1","1","0","0","0","0","1","0","0"
"Fariha THOMAS","23","43","22","6","2","0","0","0","0","0","0","1","0","0"
"Chris YOUNG","1","1","11","3","3","2","0","0","1","0","1","0","0","0"
"BOX 100 & 101","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","54","47","13","4","2","0","0","1","0","2","0","0","0","0"
"Finlay ARCHIBALD","5","5","5","0","1","5","1","0","1","0","0","0","0","1"
"Jesper BACH","9","9","10","10","4","3","1","2","2","0","0","0","1","0"
"Shaukat BUTT","5","5","8","6","3","0","0","3","0","1","1","0","0","1"
"Stephen DORNAN","17","14","9","9","3","1","0","1","2","2","1","0","0","0"
"Joyce DRUMMOND","5","2","5","6","4","1","0","1","0","2","0","1","0","0"
"John FLANAGAN","65","21","11","5","1","1","0","1","0","0","1","0","0","1"
"Alan HUGHES","5","3","3","3","0","1","1","0","0","1","1","1","1","0"
"Allison HUNTER","63","23","18","2","1","2","3","0","1","1","1","1","0","0"
"Jonathan MACKIE","15","53","18","3","4","0","1","0","4","1","0","1","1","0"
"Tahir MOHAMMED","6","12","50","7","2","4","2","2","0","0","1","1","0","0"
"Harriet MURDOCH","0","3","1","2","5","1","1","0","0","0","1","2","0","3"
"Fariha THOMAS","31","42","17","2","1","3","2","0","1","1","1","0","0","1"
"Chris YOUNG","2","2","8","4","1","2","2","1","0","0","1","1","4","0"
"BOX 102","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","153","26","17","5","6","0","0","1","0","0","0","1","0","0"
"Finlay ARCHIBALD","2","1","7","5","1","1","0","0","3","0","1","0","0","2"
"Jesper BACH","12","12","12","6","4","3","2","0","0","2","0","0","0","0"
"Shaukat BUTT","8","9","8","7","2","3","1","0","1","1","2","0","0","0"
"Stephen DORNAN","11","19","13","12","3","1","1","2","0","0","1","2","0","0"
"Joyce DRUMMOND","2","5","7","5","4","0","1","1","1","1","0","0","2","0"
"John FLANAGAN","65","16","25","8","4","1","0","0","0","0","1","0","0","1"
"Alan HUGHES","7","9","5","0","1","0","0","0","0","0","0","2","1","2"
"Allison HUNTER","88","38","19","5","0","2","0","0","0","0","0","0","0","0"
"Jonathan MACKIE","16","91","25","7","2","0","1","0","0","0","0","0","0","0"
"Tahir MOHAMMED","15","7","78","12","3","0","0","1","0","0","0","0","0","0"
"Harriet MURDOCH","16","10","1","2","0","1","0","1","0","0","0","0","3","1"
"Fariha THOMAS","10","104","26","12","5","2","0","0","2","1","0","0","0","0"
"Chris YOUNG","2","4","8","4","1","1","3","2","0","1","1","1","0","0"
"BOX 103","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","175","37","14","11","3","3","1","1","1","0","1","0","0","1"
"Finlay ARCHIBALD","1","5","6","8","3","4","4","0","2","1","1","2","3","0"
"Jesper BACH","6","16","17","16","3","2","6","4","1","0","1","1","0","0"
"Shaukat BUTT","7","15","14","15","4","5","2","2","1","1","1","1","0","0"
"Stephen DORNAN","28","19","18","15","5","1","5","2","1","1","0","0","0","0"
"Joyce DRUMMOND","2","6","8","9","8","3","2","1","2","2","0","3","1","1"
"John FLANAGAN","47","22","20","6","3","2","0","4","1","1","2","1","2","1"
"Alan HUGHES","7","7","8","4","1","1","1","2","2","2","3","1","2","1"
"Allison HUNTER","93","36","20","3","3","3","1","1","5","0","1","2","0","2"
"Jonathan MACKIE","22","78","24","9","5","2","1","0","0","6","0","0","4","0"
"Tahir MOHAMMED","3","10","79","9","8","2","3","1","0","0","5","2","0","3"
"Harriet MURDOCH","14","9","6","5","5","1","0","1","1","4","1","0","0","4"
"Fariha THOMAS","7","123","39","12","7","3","2","2","1","1","0","1","1","0"
"Chris YOUNG","5","3","13","14","6","5","1","2","2","0","2","1","1","1"
"BOX 104","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","58","39","17","1","2","0","3","0","0","0","0","1","0","0"
"Finlay ARCHIBALD","3","2","2","2","1","3","0","2","1","0","0","0","0","0"
"Jesper BACH","7","9","4","7","5","0","0","1","1","1","1","0","0","0"
"Shaukat BUTT","6","6","10","7","1","2","1","1","1","1","0","1","0","0"
"Stephen DORNAN","14","14","17","8","0","4","0","0","0","0","1","0","1","0"
"Joyce DRUMMOND","2","1","3","3","2","1","0","0","1","2","0","1","0","0"
"John FLANAGAN","42","6","10","7","1","2","1","1","0","1","0","0","1","0"
"Alan HUGHES","8","5","4","1","1","2","0","0","0","0","0","0","0","3"
"Allison HUNTER","59","27","5","0","2","1","0","0","1","0","0","1","0","0"
"Jonathan MACKIE","8","45","16","5","1","1","1","0","0","0","0","0","1","0"
"Tahir MOHAMMED","6","7","46","15","5","0","1","1","0","0","0","0","0","1"
"Harriet MURDOCH","6","4","4","3","1","0","0","0","0","0","1","0","1","0"
"Fariha THOMAS","32","42","12","4","3","1","0","0","0","0","2","0","0","0"
"Chris YOUNG","3","3","7","3","2","2","1","0","0","0","0","0","0","0"
"BOX 105","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","62","63","19","14","2","2","3","1","0","0","0","0","0","0"
"Finlay ARCHIBALD","1","1","2","4","2","0","0","1","2","0","0","0","0","1"
"Jesper BACH","2","5","12","8","6","2","0","2","1","0","0","0","1","0"
"Shaukat BUTT","6","9","7","5","3","1","0","0","0","1","1","1","0","0"
"Stephen DORNAN","33","19","15","10","1","1","0","0","0","1","2","0","0","0"
"Joyce DRUMMOND","1","2","1","4","2","1","1","0","0","2","0","1","0","1"
"John FLANAGAN","50","21","10","7","1","0","0","1","1","1","1","0","1","0"
"Alan HUGHES","4","5","3","2","0","0","1","1","1","0","1","0","0","0"
"Allison HUNTER","80","20","22","1","2","1","0","1","0","1","0","0","0","2"
"Jonathan MACKIE","11","73","17","7","1","0","2","0","1","0","0","0","2","0"
