"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 7 Langside",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Alex HEWETSON","5","82","18","4","2","0","0","0"
"Russell Maitland MUNN","12","7","5","0","1","1","1","5"
"Ronnie STEVENSON","2","7","8","10","2","2","2","2"
"BOX 144","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","93","33","13","3","3","1","2","0"
"Paul COLESHILL","15","29","21","15","5","3","2","0"
"Cayleigh DORNAN","2","7","15","8","5","7","3","4"
"Archie GRAHAM","81","24","26","7","6","1","1","0"
"Liam HAINEY","35","21","56","5","5","2","3","1"
"Alex HEWETSON","12","79","22","10","2","4","1","1"
"Russell Maitland MUNN","15","14","6","4","4","1","5","9"
"Ronnie STEVENSON","3","13","5","6","2","7","7","7"
"BOX 145","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","96","41","19","5","3","1","1","0"
"Paul COLESHILL","19","18","18","8","6","3","2","1"
"Cayleigh DORNAN","3","7","13","8","11","2","3","0"
"Archie GRAHAM","67","24","28","17","4","1","1","2"
"Liam HAINEY","42","31","52","10","1","5","0","0"
"Alex HEWETSON","14","79","30","6","1","4","2","0"
"Russell Maitland MUNN","20","11","7","2","0","2","4","2"
"Ronnie STEVENSON","6","10","9","5","4","1","3","6"
"BOX 146","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","98","45","20","7","2","3","0","1"
"Paul COLESHILL","16","26","20","6","11","3","7","0"
"Cayleigh DORNAN","3","9","8","13","8","10","3","1"
"Archie GRAHAM","82","30","21","6","3","3","0","4"
"Liam HAINEY","40","40","49","16","6","5","1","0"
"Alex HEWETSON","16","76","23","8","9","3","4","0"
"Russell Maitland MUNN","15","7","9","2","3","3","5","10"
"Ronnie STEVENSON","4","11","13","12","4","3","7","9"
"BOX 147 & 148","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","71","75","11","6","2","2","3","1"
"Paul COLESHILL","7","18","19","12","6","4","5","0"
"Cayleigh DORNAN","1","21","17","11","8","4","3","0"
"Archie GRAHAM","112","16","37","6","5","3","2","0"
"Liam HAINEY","10","17","30","8","8","7","3","3"
"Alex HEWETSON","59","67","15","6","2","4","2","1"
"Russell Maitland MUNN","16","9","5","5","3","6","6","10"
"Ronnie STEVENSON","8","6","20","5","3","4","6","10"
"BOX 149","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","59","92","32","6","4","1","1","1"
"Paul COLESHILL","34","37","28","7","6","8","4","2"
"Cayleigh DORNAN","4","12","23","9","13","8","3","2"
"Archie GRAHAM","167","41","30","8","3","4","1","2"
"Liam HAINEY","22","29","39","15","9","3","4","1"
"Alex HEWETSON","65","62","36","11","2","2","2","1"
"Russell Maitland MUNN","28","13","16","4","3","4","11","5"
"Ronnie STEVENSON","6","15","16","10","6","2","3","12"
"BOX 150","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","106","96","26","8","2","2","4","5"
"Paul COLESHILL","35","43","42","18","13","7","5","1"
"Cayleigh DORNAN","3","17","28","21","19","8","5","2"
"Archie GRAHAM","162","34","44","14","5","6","5","6"
"Liam HAINEY","24","32","51","21","15","6","4","2"
"Alex HEWETSON","62","109","35","11","3","11","3","2"
"Russell Maitland MUNN","46","12","13","6","6","5","15","15"
"Ronnie STEVENSON","5","15","27","7","6","6","8","14"
"TOTAL POSTAL LANGSIDE","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Susan AITKEN","329","196","76","18","10","6","9","9"
"Paul COLESHILL","121","134","109","38","16","20","13","4"
"Cayleigh DORNAN","17","49","69","38","38","21","12","2"
"Archie GRAHAM","441","109","102","20","10","12","15","4"
"Liam HAINEY","57","105","153","50","21","13","6","6"
"Alex HEWETSON","104","303","92","28","14","14","8","7"
"Russell Maitland MUNN","130","57","58","9","13","9","17","38"
"Ronnie STEVENSON","24","36","59","31","19","12","22","21"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,

