"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 21 North East",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"BOX 455 & 462","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","85","20","8","13","1","2","1","2","0"
"Maureen BURKE","78","72","74","9","1","4","1","1","0"
"Stuart Duncan CLAY","4","10","27","14","5","8","5","0","1"
"Jamie COCOZZA","2","5","9","6","10","3","5","4","4"
"Tony KENNY","12","75","7","5","9","0","2","0","2"
"Gerry LEONARD","129","67","14","7","9","2","1","0","3"
"John Cluny MACPHERSON","5","3","7","7","5","4","7","3","1"
"Kim SCHMULIAN","11","3","3","4","1","4","0","9","7"
"Sohan SINGH","20","56","98","5","7","2","2","4","4"
"BOX 456","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","50","18","7","9","3","3","0","1","1"
"Maureen BURKE","45","60","51","4","4","1","1","0","0"
"Stuart Duncan CLAY","7","5","17","6","0","5","1","5","0"
"Jamie COCOZZA","0","2","5","3","1","1","3","4","4"
"Tony KENNY","12","39","9","6","6","2","2","1","0"
"Gerry LEONARD","100","37","17","4","4","1","1","0","0"
"John Cluny MACPHERSON","4","3","0","5","1","3","5","5","0"
"Kim SCHMULIAN","3","6","5","2","0","1","5","1","6"
"Sohan SINGH","7","47","77","6","3","2","0","0","3"
"BOX 457","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","74","24","9","5","3","0","0","1","0"
"Maureen BURKE","19","24","111","8","10","3","0","0","0"
"Stuart Duncan CLAY","6","8","22","9","3","6","4","0","1"
"Jamie COCOZZA","2","1","3","6","6","3","1","3","2"
"Tony KENNY","16","72","14","7","3","1","0","0","0"
"Gerry LEONARD","38","112","16","17","3","2","2","0","0"
"John Cluny MACPHERSON","4","5","7","5","1","5","4","5","0"
"Kim SCHMULIAN","7","4","4","2","1","0","0","4","7"
"Sohan SINGH","110","15","38","4","5","2","3","0","1"
"BOX 458","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","62","15","12","8","6","2","2","2","3"
"Maureen BURKE","11","46","126","5","4","2","2","2","0"
"Stuart Duncan CLAY","6","5","20","11","8","4","1","4","2"
"Jamie COCOZZA","0","3","2","4","3","6","7","3","6"
"Tony KENNY","10","59","11","5","7","4","3","3","1"
"Gerry LEONARD","39","121","31","10","3","2","2","0","1"
"John Cluny MACPHERSON","0","4","9","10","7","4","6","6","2"
"Kim SCHMULIAN","8","4","8","2","1","7","3","4","8"
"Sohan SINGH","171","20","28","8","6","2","2","0","0"
"BOX 459","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","76","20","10","8","0","1","0","1","3"
"Maureen BURKE","24","24","114","4","2","0","2","0","0"
"Stuart Duncan CLAY","6","4","22","5","6","3","2","0","0"
"Jamie COCOZZA","5","2","3","4","1","5","4","3","3"
"Tony KENNY","10","73","11","4","5","1","2","2","1"
"Gerry LEONARD","27","116","22","9","2","0","0","2","0"
"John Cluny MACPHERSON","5","6","9","6","4","3","3","1","1"
"Kim SCHMULIAN","8","5","5","2","2","1","1","4","4"
"Sohan SINGH","115","15","29","3","4","3","0","0","1"
"BOX 460 & 461","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","50","46","7","2","2","1","0","0","0"
"Maureen BURKE","39","39","55","4","1","1","0","0","1"
"Stuart Duncan CLAY","5","4","17","10","2","0","2","0","0"
"Jamie COCOZZA","0","2","6","1","4","1","0","3","0"
"Tony KENNY","42","34","11","3","2","1","1","0","0"
"Gerry LEONARD","50","71","11","4","2","2","1","0","0"
"John Cluny MACPHERSON","4","4","2","1","1","1","1","0","1"
"Kim SCHMULIAN","5","0","4","0","1","0","2","1","2"
"Sohan SINGH","51","15","47","6","0","2","0","2","1"
"BOX 463","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","35","11","7","5","2","0","0","1","1"
"Maureen BURKE","49","50","56","2","1","0","1","0","1"
"Stuart Duncan CLAY","2","5","12","6","2","0","1","0","0"
"Jamie COCOZZA","4","2","6","4","2","1","0","0","0"
"Tony KENNY","10","30","6","0","3","1","3","0","1"
"Gerry LEONARD","102","47","4","3","0","2","0","2","0"
"John Cluny MACPHERSON","1","1","2","3","2","1","1","1","0"
"Kim SCHMULIAN","3","1","1","1","1","2","0","1","0"
"Sohan SINGH","9","49","75","2","2","1","1","0","1"
"BOX 464 & 465","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","100","19","4","12","4","0","1","2","2"
"Maureen BURKE","95","78","51","3","8","1","0","0","0"
"Stuart Duncan CLAY","4","7","25","12","5","10","2","1","1"
"Jamie COCOZZA","1","8","8","5","5","3","4","6","4"
"Tony KENNY","11","81","15","8","6","1","3","3","1"
"Gerry LEONARD","101","74","23","18","3","3","0","1","0"
"John Cluny MACPHERSON","4","0","3","3","3","8","7","5","2"
"Kim SCHMULIAN","13","2","1","1","0","2","7","6","9"
"Sohan SINGH","8","33","121","8","9","2","5","1","2"
"BOX 466 & 467","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    "
"Gerry BOYLE","57","15","8","5","4","0","0","1","2"
"Maureen BURKE","30","32","101","8","2","0","1","0","0"
"Stuart Duncan CLAY","5","6","21","6","1","8","3","1","2"
