"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 6 Pollokshields",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"BOX 125","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","12","24","23","10","1","2","7","0"
"Akhtar KHAN","4","4","8","8","4","5","1","7"
"Norman MACLEOD","76","64","24","4","2","4","0","1"
"Khalil MALIK","42","69","28","9","5","2","5","0"
"Patrick MCALEER","26","32","40","12","8","1","1","2"
"David MEIKLE","116","23","17","1","6","2","2","7"
"Andrina MORRISON","0","6","7","10","7","6","3","1"
"Hanif RAJA","51","27","33","4","2","2","3","4"
"BOX 126","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","7","32","13","12","2","5","2","3"
"Akhtar KHAN","3","7","11","1","3","4","5","3"
"Norman MACLEOD","82","82","17","3","0","0","2","0"
"Khalil MALIK","66","77","24","5","2","0","0","2"
"Patrick MCALEER","13","22","36","12","4","1","0","3"
"David MEIKLE","166","20","15","5","5","0","2","2"
"Andrina MORRISON","1","4","11","4","4","4","4","0"
"Hanif RAJA","45","28","33","4","0","5","2","4"
"BOX 127","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","6","14","24","14","3","0","3","1"
"Akhtar KHAN","8","7","4","7","9","3","1","5"
"Norman MACLEOD","100","42","14","6","3","2","0","1"
"Khalil MALIK","21","100","23","2","2","2","3","0"
"Patrick MCALEER","30","34","51","8","2","6","3","0"
"David MEIKLE","29","14","8","2","4","2","2","4"
"Andrina MORRISON","3","10","14","15","4","2","3","2"
"Hanif RAJA","72","16","31","8","2","2","1","3"
"BOX 128","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Bill FRASER","8","15","20","14","12","5","3","0"
"Akhtar KHAN","4","8","15","7","4","11","4","6"
"Norman MACLEOD","115","45","21","5","1","1","2","4"
"Khalil MALIK","30","99","28","3","4","1","4","2"
"Patrick MCALEER","43","45","41","13","4","4","3","0"
"David MEIKLE","40","17","10","3","3","3","6","9"
"Andrina MORRISON","2","17","15","19","7","5","4","3"
