"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 20 Baillieston",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"David Jamieson TURNER","34","59","18","10","2","0","2","0","0","1"
"David WEIR","2","5","35","6","5","2","2","1","0","1"
"BOX 429","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","5","4","19","3","1","2","3","4","5","1"
"James COLEMAN","64","100","22","8","5","0","2","1","0","1"
"Marie GARRITY","109","71","22","9","1","1","0","1","1","1"
"Raymond Colin MCCRAE","20","3","20","7","3","1","2","1","3","3"
"James David MCHALE","3","8","16","10","4","4","1","3","1","2"
"Andy MUIR","4","4","15","10","1","6","4","1","1","1"
"Austin SHERIDAN","27","89","20","13","4","1","0","0","2","1"
"Arthur Misty  THACKERAY","3","3","8","6","3","2","3","5","1","2"
"David Jamieson TURNER","103","32","24","10","4","0","0","1","2","2"
"David WEIR","5","9","39","11","7","3","2","0","1","2"
"BOX 430","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","4","7","18","10","8","2","1","4","0","3"
"James COLEMAN","107","62","23","13","3","0","3","0","1","1"
"Marie GARRITY","50","97","22","15","6","5","0","1","0","0"
"Raymond Colin MCCRAE","29","7","12","1","4","8","1","2","4","3"
"James David MCHALE","2","10","18","7","3","4","5","0","2","4"
"Andy MUIR","12","13","39","12","7","3","4","0","1","0"
"Austin SHERIDAN","84","60","21","16","2","2","1","1","1","0"
"Arthur Misty  THACKERAY","3","1","5","7","2","1","3","4","3","3"
"David Jamieson TURNER","83","88","21","11","3","0","1","2","0","0"
"David WEIR","8","12","48","24","6","0","0","3","3","0"
"BOX 431","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","0","7","21","5","5","2","3","4","1","5"
"James COLEMAN","100","55","20","9","3","0","1","2","2","1"
"Marie GARRITY","61","89","24","11","1","3","1","1","3","1"
"Raymond Colin MCCRAE","30","6","25","7","5","3","3","3","2","2"
"James David MCHALE","4","11","19","18","1","4","3","3","0","2"
"Andy MUIR","25","20","35","11","7","3","3","4","2","1"
"Austin SHERIDAN","85","79","26","12","2","0","1","1","3","0"
"Arthur Misty  THACKERAY","8","10","13","5","4","2","4","3","3","4"
"David Jamieson TURNER","84","79","18","17","3","1","0","1","1","3"
"David WEIR","7","17","42","13","8","8","3","0","4","0"
"BOX 432","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","3","2","15","6","1","5","2","5","3","2"
"James COLEMAN","73","47","26","12","7","3","1","0","1","1"
"Marie GARRITY","46","63","13","15","10","2","0","4","0","0"
"Raymond Colin MCCRAE","12","3","10","3","2","1","1","0","4","8"
"James David MCHALE","7","3","9","6","4","4","2","3","5","0"
"Andy MUIR","11","8","14","13","7","2","9","0","0","0"
"Austin SHERIDAN","74","63","21","6","3","1","0","1","0","0"
"Arthur Misty  THACKERAY","2","8","9","7","1","2","1","3","4","3"
"David Jamieson TURNER","57","70","25","13","2","3","2","0","0","0"
"David WEIR","8","8","40","12","5","3","3","1","0","3"
"BOX 433","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","4","3","20","4","5","5","1","1","3","3"
"James COLEMAN","94","67","34","6","2","0","2","2","0","3"
"Marie GARRITY","59","87","16","15","0","1","1","3","3","0"
"Raymond Colin MCCRAE","27","4","14","7","2","1","3","2","5","6"
"James David MCHALE","4","7","14","8","7","6","3","3","3","1"
"Andy MUIR","8","12","32","20","12","3","3","1","0","1"
"Austin SHERIDAN","78","74","23","9","3","0","1","3","2","2"
"Arthur Misty  THACKERAY","4","5","6","3","5","5","5","4","1","3"
"David Jamieson TURNER","89","87","22","10","3","2","2","1","4","1"
"David WEIR","9","8","43","17","6","6","3","4","0","0"
"BOX 434","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","1","1","17","7","5","3","2","1","1","4"
"James COLEMAN","99","73","28","7","5","3","0","0","1","0"
"Marie GARRITY","69","94","19","18","0","1","3","1","0","0"
"Raymond Colin MCCRAE","25","7","11","3","2","3","3","2","1","7"
"James David MCHALE","4","6","9","3","5","5","6","4","3","0"
"Andy MUIR","8","11","18","12","7","4","3","4","0","1"
"Austin SHERIDAN","93","46","19","14","1","0","2","2","2","0"
"Arthur Misty  THACKERAY","1","6","9","3","3","0","2","6","8","3"
"David Jamieson TURNER","52","87","19","15","1","1","0","1","2","3"
"David WEIR","4","5","31","7","5","5","2","1","4","4"
"BOX 435","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Margaret BEAN","4","3","9","5","3","1","3","1","2","0"
"James COLEMAN","85","60","26","7","1","1","0","0","0","0"
"Marie GARRITY","53","86","21","13","3","1","0","0","0","0"
"Raymond Colin MCCRAE","23","1","12","4","2","0","1","3","1","4"
"James David MCHALE","5","5","8","4","1","2","2","1","3","0"
"Andy MUIR","6","5","16","7","2","3","2","3","1","0"
"Austin SHERIDAN","84","57","21","3","1","0","1","0","2","0"
