"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 4 Craigton",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"Jim TORRANCE","61","78","40","11","4","1","0","3","1","0"
"Alistair WATSON","168","97","24","8","2","3","1","1","0","2"
"BOX 078","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","49","27","18","4","2","1","0","0","0","2"
"Matt KERR","36","99","20","9","3","1","2","0","0","0"
"Gordon MACDIARMID","7","9","14","7","4","6","0","0","0","1"
"Janice MACKAY","2","1","9","3","2","0","4","0","2","0"
"Jayne Ann MORGAN","9","2","1","1","2","0","1","3","3","1"
"Isabel NELSON","1","1","5","2","2","0","2","4","2","0"
"Ian RUFFELL","5","1","14","9","4","3","0","1","1","0"
"Gail SHERIDAN","16","18","22","7","2","1","0","1","0","5"
"Jim TORRANCE","25","36","15","12","4","0","1","0","1","0"
"Alistair WATSON","115","40","20","7","1","1","0","1","1","0"
"BOX 079","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","69","30","12","6","4","0","0","1","2","0"
"Matt KERR","35","102","10","10","5","2","2","2","0","0"
"Gordon MACDIARMID","8","10","10","9","4","3","4","2","0","0"
"Janice MACKAY","5","6","4","4","4","2","1","2","3","2"
"Jayne Ann MORGAN","7","4","8","1","1","3","0","0","1","4"
"Isabel NELSON","5","3","12","4","3","1","1","1","1","0"
"Ian RUFFELL","7","8","20","9","4","4","2","0","0","1"
"Gail SHERIDAN","25","18","41","9","1","3","2","2","0","1"
"Jim TORRANCE","17","51","24","10","2","1","1","0","1","1"
"Alistair WATSON","108","37","14","8","6","1","0","0","1","0"
"BOX 080","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","89","33","25","4","7","1","1","1","0","0"
"Matt KERR","34","63","23","7","2","3","3","1","0","1"
"Gordon MACDIARMID","2","3","18","18","4","4","1","4","0","2"
"Janice MACKAY","6","6","10","4","2","3","0","2","5","3"
"Jayne Ann MORGAN","12","5","10","2","1","1","3","1","2","3"
"Isabel NELSON","5","7","7","5","5","2","2","4","1","0"
"Ian RUFFELL","8","11","23","16","5","3","2","1","2","0"
"Gail SHERIDAN","37","26","33","12","3","2","0","0","1","2"
"Jim TORRANCE","16","78","24","18","2","1","2","0","1","0"
"Alistair WATSON","87","41","23","9","4","1","0","0","2","1"
"BOX 081","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","97","37","18","10","3","3","2","1","1","1"
"Matt KERR","52","105","32","12","7","2","1","0","0","0"
"Gordon MACDIARMID","8","11","18","6","7","4","4","3","2","0"
"Janice MACKAY","1","4","9","2","1","2","3","3","5","3"
"Jayne Ann MORGAN","6","8","10","1","5","0","0","0","3","9"
"Isabel NELSON","3","4","15","9","4","4","5","3","1","0"
"Ian RUFFELL","1","10","29","9","7","6","1","4","2","0"
"Gail SHERIDAN","33","26","41","9","2","3","2","0","3","3"
"Jim TORRANCE","24","74","23","26","3","1","1","2","0","0"
"Alistair WATSON","132","52","28","14","2","0","0","1","0","0"
"BOX 082","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","75","34","24","15","6","1","2","0","0","1"
"Matt KERR","109","56","20","15","1","0","2","0","0","0"
"Gordon MACDIARMID","1","5","18","3","7","3","2","4","0","1"
"Janice MACKAY","5","4","1","4","2","1","1","1","4","1"
"Jayne Ann MORGAN","8","9","8","4","1","3","1","2","2","1"
"Isabel NELSON","7","7","10","7","4","4","1","1","0","1"
"Ian RUFFELL","15","10","26","11","6","4","1","2","1","0"
"Gail SHERIDAN","37","16","41","10","7","2","3","1","1","4"
"Jim TORRANCE","19","68","29","10","6","3","2","1","0","1"
"Alistair WATSON","51","97","19","17","5","2","1","0","2","0"
"BOX 083","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","54","15","11","7","2","2","2","3","1","2"
"Matt KERR","89","32","23","4","4","0","0","1","0","0"
"Gordon MACDIARMID","1","7","10","5","4","3","2","3","4","1"
"Janice MACKAY","4","0","4","4","2","2","4","0","5","6"
"Jayne Ann MORGAN","6","4","13","5","2","3","2","3","3","4"
"Isabel NELSON","2","1","11","5","6","2","2","3","0","2"
"Ian RUFFELL","4","5","14","9","4","3","1","2","2","1"
"Gail SHERIDAN","15","11","22","3","3","3","3","3","2","1"
"Jim TORRANCE","11","54","11","6","1","2","3","1","2","2"
"Alistair WATSON","36","81","14","9","1","1","1","0","0","0"
"BOX 084","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","69","41","16","8","1","5","1","1","2","2"
"Matt KERR","82","69","21","10","3","1","0","1","1","1"
"Gordon MACDIARMID","3","4","11","6","11","4","2","2","1","1"
"Janice MACKAY","6","4","5","7","3","3","3","4","4","3"
"Jayne Ann MORGAN","16","2","11","3","1","3","1","3","2","7"
"Isabel NELSON","0","4","16","6","7","6","6","2","3","0"
"Ian RUFFELL","6","8","27","11","6","4","5","1","2","0"
"Gail SHERIDAN","29","18","30","7","3","1","0","5","2","4"
"Jim TORRANCE","23","52","26","12","3","2","3","2","2","0"
"Alistair WATSON","71","78","22","8","4","1","1","1","1","1"
"BOX 085 & 087","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","86","36","27","9","3","3","4","0","0","1"
"Matt KERR","180","52","20","11","5","0","1","0","1","1"
"Gordon MACDIARMID","4","11","14","9","5","9","5","3","1","1"
"Janice MACKAY","3","0","7","4","4","5","7","8","4","2"
"Jayne Ann MORGAN","13","2","6","5","0","4","5","1","7","15"
"Isabel NELSON","4","4","12","3","2","4","2","7","12","2"
"Ian RUFFELL","12","9","21","7","8","9","7","4","3","1"
"Gail SHERIDAN","17","9","32","6","7","2","4","3","2","7"
"Jim TORRANCE","25","65","20","23","8","3","2","5","1","0"
"Alistair WATSON","26","153","29","15","6","1","0","4","2","3"
"BOX 086","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Iris GIBSON","53","25","11","5","2","1","0","0","1","0"
"Matt KERR","109","21","10","3","1","2","1","0","0","0"
"Gordon MACDIARMID","2","4","13","2","8","2","1","1","0","0"
"Janice MACKAY","2","0","7","3","1","1","1","2","2","1"
"Jayne Ann MORGAN","5","3","1","1","0","0","2","0","1","4"
"Isabel NELSON","0","1","6","3","0","2","1","1","3","1"
