"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 14 Drumchapel-Anniesland",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Eric STEVENSON","1","1","1","6","3","2","0","1","2","0","2"
"James TROLLAND","1","3","4","3","6","2","1","0","1","3","0"
"Alastair WHITELAW","5","8","16","14","4","7","1","0","1","0","1"
"BOX 295","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","70","28","6","13","3","1","2","1","1","0","1"
"Paul CAREY","70","89","36","4","6","1","1","2","2","0","0"
"John DOCHERTY","22","62","8","7","7","3","2","1","1","2","0"
"Jon FINDLAY","17","72","97","5","3","3","0","3","1","1","0"
"Judith FISHER","114","30","56","4","3","0","3","1","2","1","0"
"Gerrard O'Neill MCCUE","0","0","6","8","3","10","1","2","3","1","2"
"Paul MCGARRY","3","4","13","5","2","5","9","0","2","3","1"
"Martyn Anthony MCINTYRE","13","4","4","2","2","1","1","9","2","1","8"
"Eric STEVENSON","3","3","4","2","5","3","2","2","4","4","4"
"James TROLLAND","1","5","5","6","2","3","1","2","5","8","3"
"Alastair WHITELAW","12","8","16","7","5","2","5","4","1","2","3"
"BOX 296","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","61","17","3","3","3","1","0","0","0","0","1"
"Paul CAREY","55","90","25","6","1","0","0","0","0","1","1"
"John DOCHERTY","16","59","5","4","3","0","1","0","1","0","0"
"Jon FINDLAY","9","44","107","5","4","1","0","1","0","1","0"
"Judith FISHER","103","29","40","1","4","1","2","0","1","0","0"
"Gerrard O'Neill MCCUE","0","1","6","4","0","3","1","2","0","0","1"
"Paul MCGARRY","3","3","3","6","2","3","3","0","0","0","0"
"Martyn Anthony MCINTYRE","7","2","2","3","1","0","2","4","1","0","0"
"Eric STEVENSON","0","2","4","1","1","1","0","0","1","3","1"
"James TROLLAND","2","1","3","2","1","0","0","2","1","2","1"
"Alastair WHITELAW","4","2","9","8","2","2","1","0","2","0","2"
"BOX 297","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","49","61","6","4","1","2","2","0","0","1","0"
"Paul CAREY","33","27","80","6","4","2","1","0","2","1","1"
"John DOCHERTY","58","45","15","5","3","0","0","2","0","0","0"
"Jon FINDLAY","92","29","16","5","8","0","1","1","2","2","0"
"Judith FISHER","16","77","48","9","0","2","0","2","1","0","2"
"Gerrard O'Neill MCCUE","2","1","13","2","3","1","2","2","0","0","0"
"Paul MCGARRY","5","9","6","2","0","2","3","0","1","2","0"
"Martyn Anthony MCINTYRE","11","4","2","2","0","1","0","3","1","1","2"
"Eric STEVENSON","1","2","5","4","0","2","2","0","2","1","0"
"James TROLLAND","1","2","3","4","4","1","0","0","1","2","1"
"Alastair WHITELAW","10","5","15","17","4","3","0","1","1","0","2"
"BOX 298","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","58","66","6","10","6","0","0","0","0","2","1"
"Paul CAREY","27","29","77","10","2","1","2","0","2","0","0"
"John DOCHERTY","66","61","8","7","5","1","0","0","0","1","2"
"Jon FINDLAY","86","33","13","10","3","0","1","4","0","0","0"
"Judith FISHER","16","62","51","7","7","1","2","0","2","0","0"
"Gerrard O'Neill MCCUE","0","2","14","5","4","5","2","2","1","0","0"
"Paul MCGARRY","7","6","3","5","3","3","2","2","0","2","0"
"Martyn Anthony MCINTYRE","10","5","4","4","0","0","2","0","2","0","3"
"Eric STEVENSON","0","1","5","4","4","1","0","2","0","2","0"
"James TROLLAND","3","5","2","5","2","2","0","0","3","1","0"
"Alastair WHITELAW","15","4","28","8","3","6","0","1","0","0","1"
"BOX 299","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Malcolm BALFOUR","51","38","10","8","3","0","4","0","1","1","2"
"Paul CAREY","35","22","130","6","2","0","0","2","2","0","0"
"John DOCHERTY","32","56","8","8","5","5","0","4","0","2","0"
"Jon FINDLAY","50","116","30","8","0","0","0","1","1","0","0"
