"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 3 Greater Pollok",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"BOX 043 & 044","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"William O'ROURKE","2","9","9","12","3","7","2","1","2","3","1"
"BOX 051","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","5","4","8","7","3","1","2","4","3","0","1"
"Bill BUTLER","111","19","18","5","1","0","1","0","0","1","0"
"Norman FRASER","3","11","9","4","2","0","3","2","3","4","0"
"Rashid HUSSAIN","12","89","19","13","2","4","0","0","1","0","0"
"Shabbar JAFFRI","36","50","9","7","2","2","0","1","2","1","2"
"Archie E LINNEGAN","8","2","6","2","2","3","5","2","2","2","3"
"David MCDONALD","61","38","20","4","4","0","1","0","1","4","1"
"Chris MORGAN","9","5","13","5","1","2","1","3","1","2","8"
"Tommy MORRISON","10","16","23","7","6","2","2","3","2","0","0"
"Juliet NEAL","10","9","17","11","3","2","2","5","1","3","0"
"William O'ROURKE","6","7","13","11","5","5","3","0","2","1","2"
"BOX 052","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ian M BEATTIE","3","4","12","9","3","0","3","0","2","0","1"
"Bill BUTLER","85","25","8","6","2","1","2","1","2","2","0"
"Norman FRASER","7","4","5","2","1","1","3","3","1","0","0"
"Rashid HUSSAIN","12","70","15","12","3","2","0","2","2","1","0"
"Shabbar JAFFRI","24","51","13","6","1","0","0","1","1","2","1"
"Archie E LINNEGAN","4","2","2","6","3","3","0","1","0","1","2"
"David MCDONALD","60","27","10","5","2","1","0","0","0","2","2"
"Chris MORGAN","8","4","7","2","0","1","2","0","1","1","3"
"Tommy MORRISON","11","16","21","10","5","0","1","0","0","0","0"
"Juliet NEAL","8","5","22","3","3","4","1","1","0","1","0"
"William O'ROURKE","9","8","9","16","3","4","0","2","1","0","0"
