"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"Mark MUIR","0","1","1","4","1","3","2","0","1","0","1","1","0"
"Paul ROONEY","19","59","55","5","2","0","3","1","1","0","2","0","0"
"Martin SCHMIERER","1","5","8","5","4","1","1","1","1","1","0","0","0"
"James Douglas SPEIRS","2","1","2","6","1","3","0","1","0","0","0","1","0"
"Ryan STUART","0","0","4","0","5","0","2","0","0","2","0","1","0"
"Donald T WILSON","20","47","8","8","5","0","0","0","0","0","0","1","1"
"BOX 268","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","190","38","31","0","2","0","0","1","0","0","0","0","1"
"John CORMACK","5","5","5","2","1","0","0","1","1","1","0","1","1"
"Iain CUMMING","1","4","9","4","1","1","0","1","1","0","0","1","0"
"Graeme Andrew HENDRY","64","36","8","11","4","0","2","0","0","0","0","0","0"
"Phil JARVIS","11","3","10","8","0","0","1","1","0","3","1","0","0"
"John KELLY","8","69","89","4","0","2","0","0","1","0","0","0","0"
"Susan Marion MCCOURT","4","7","2","2","1","0","2","3","1","1","0","0","0"
"Mark MUIR","0","0","2","4","3","1","0","0","2","0","3","1","0"
"Paul ROONEY","29","90","70","7","3","0","0","0","0","0","0","0","0"
"Martin SCHMIERER","3","10","15","10","1","1","1","0","1","1","1","1","1"
"James Douglas SPEIRS","2","1","4","8","2","2","3","0","0","2","0","0","0"
"Ryan STUART","0","0","9","2","2","1","0","1","1","0","2","0","2"
"Donald T WILSON","22","53","18","5","3","2","0","0","0","0","0","2","0"
"BOX 269","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","179","23","24","0","2","0","0","0","0","0","0","0","0"
"John CORMACK","6","4","2","3","1","1","0","0","0","0","0","1","0"
"Iain CUMMING","2","7","7","3","0","0","1","0","0","0","0","0","1"
"Graeme Andrew HENDRY","67","23","13","6","2","2","0","0","0","0","1","0","0"
"Phil JARVIS","7","2","7","5","2","0","0","2","0","1","0","0","0"
"John KELLY","3","63","84","9","4","0","0","0","0","0","0","0","0"
