"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 17 Springburn",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"John STUART","10","8","28","5","5","5","0","0","2","0"
"BOX 366 & 367","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","3","6","7","5","2","4","3","2","1","1"
"Joe CHAMBERS","7","8","11","3","3","0","3","3","1","3"
"Gilbert DAVIDSON","91","48","11","4","3","1","1","0","1","0"
"Jason Patrick ECCLES","3","4","3","5","4","2","2","1","1","3"
"Phil GREENE","45","12","20","3","4","3","2","1","1","0"
"Christopher HENDERSON","1","3","8","2","1","6","2","4","3","0"
"Luke IVORY","3","5","2","5","2","2","3","1","4","2"
"James OAKES","13","40","14","11","2","0","1","4","0","2"
"Allan STEWART","55","76","10","3","2","1","1","1","3","1"
"John STUART","9","8","25","8","6","2","0","1","1","3"
"BOX 368","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","2","0","2","1","1","2","1","0","2","0"
"Joe CHAMBERS","3","8","17","1","1","1","0","1","0","0"
"Gilbert DAVIDSON","53","55","10","4","4","0","1","0","0","0"
"Jason Patrick ECCLES","8","4","2","3","0","0","0","1","0","2"
"Phil GREENE","60","17","10","2","0","0","1","0","1","0"
"Christopher HENDERSON","0","2","6","0","0","2","1","1","0","0"
"Luke IVORY","0","1","5","2","2","2","1","0","0","0"
"James OAKES","16","53","8","4","1","0","0","0","0","1"
"Allan STEWART","60","42","9","5","2","0","0","0","0","0"
"John STUART","1","1","10","4","0","1","0","1","0","0"
"BOX 369 & 370","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","1","7","6","2","6","3","2","0","3","3"
"Joe CHAMBERS","6","4","15","3","4","2","1","3","2","0"
"Gilbert DAVIDSON","72","69","14","8","4","0","2","1","1","0"
"Jason Patrick ECCLES","10","5","1","0","1","2","1","1","3","4"
"Phil GREENE","88","23","13","2","2","0","0","1","0","0"
"Christopher HENDERSON","2","2","8","4","1","6","2","1","1","0"
"Luke IVORY","1","1","5","3","3","2","2","2","0","2"
"James OAKES","22","81","12","3","2","1","1","0","1","0"
"Allan STEWART","79","57","16","12","2","2","1","0","0","2"
"John STUART","1","5","23","5","3","1","1","4","0","0"
"TOTAL POSTAL SPRINGBURN","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    "
"Sophie BRIDGER","13","20","44","20","10","8","5","9","15","12"
"Joe CHAMBERS","56","29","95","26","29","5","7","10","8","8"
"Gilbert DAVIDSON","502","173","89","11","6","3","1","3","6","2"
"Jason Patrick ECCLES","36","14","27","9","11","10","11","7","12","23"
"Phil GREENE","193","133","84","17","6","7","4","5","10","5"
"Christopher HENDERSON","10","24","83","28","20","23","21","4","3","1"
"Luke IVORY","5","9","24","14","12","21","14","21","11","6"
"James OAKES","93","174","58","33","5","4","7","6","7","8"
"Allan STEWART","155","398","64","35","6","2","7","2","3","7"
"John STUART","9","18","70","14","18","17","14","19","5","7"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

