"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 18 East Centre",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Fraser PATERSON","1","5","5","5","6","3","3","1","3","1","1"
"Russell ROBERTSON","8","76","55","15","10","1","1","0","2","2","0"
"Colin RULLKOTTER","15","63","20","11","8","4","1","2","2","0","1"
"BOX 379 & 384","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","16","7","5","4","2","0","1","0","0","0","5"
"Nina BALLANTYNE","14","7","25","13","3","2","0","1","0","0","0"
"Frank DOCHERTY","65","62","29","15","3","1","1","0","1","2","0"
"Jennifer DUNN","90","26","9","6","3","1","0","1","0","0","0"
"Steven LAIRD","4","7","5","10","1","1","0","0","0","3","0"
"Alan LEE","3","8","6","6","6","3","1","1","1","1","0"
"Elaine MCDOUGALL","28","64","71","11","3","2","2","2","0","1","0"
"Daniel O'DONNELL","9","4","8","10","2","1","3","2","2","0","1"
"Fraser PATERSON","0","6","12","7","3","3","1","1","1","0","0"
"Russell ROBERTSON","60","23","62","9","3","3","1","0","2","0","1"
"Colin RULLKOTTER","16","74","15","10","6","0","2","0","0","0","0"
"BOX 380","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","6","1","1","2","1","0","1","1","0","0","3"
"Nina BALLANTYNE","5","3","9","8","2","3","1","1","1","0","0"
"Frank DOCHERTY","40","75","32","9","1","0","0","0","0","1","0"
"Jennifer DUNN","56","9","1","4","3","1","1","1","0","0","0"
"Steven LAIRD","1","1","3","2","0","1","2","1","2","1","1"
"Alan LEE","0","3","1","2","2","1","1","1","1","3","1"
"Elaine MCDOUGALL","29","44","75","6","4","2","0","0","0","0","1"
"Daniel O'DONNELL","6","6","8","3","2","3","2","2","0","0","1"
"Fraser PATERSON","0","1","5","2","0","3","2","1","3","1","1"
"Russell ROBERTSON","84","24","44","1","3","0","0","1","1","0","0"
"Colin RULLKOTTER","2","43","2","4","6","2","0","0","0","2","0"
"BOX 381","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","17","4","6","3","0","0","1","0","0","2","0"
"Nina BALLANTYNE","3","7","9","8","4","2","1","1","1","0","1"
"Frank DOCHERTY","50","92","31","6","2","0","0","1","1","1","0"
"Jennifer DUNN","67","24","5","4","1","0","1","3","0","0","0"
"Steven LAIRD","7","4","5","0","2","1","1","0","4","0","0"
"Alan LEE","1","2","3","2","0","1","0","1","0","2","1"
"Elaine MCDOUGALL","22","56","97","6","4","0","2","0","0","0","0"
"Daniel O'DONNELL","15","7","7","4","0","3","0","0","0","0","2"
"Fraser PATERSON","2","2","7","6","2","2","2","1","0","1","0"
"Russell ROBERTSON","99","22","50","6","4","2","0","1","0","0","1"
"Colin RULLKOTTER","14","56","9","2","3","0","1","1","1","0","0"
"BOX 382","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","5","1","2","8","0","0","0","0","0","3","4"
"Nina BALLANTYNE","2","7","9","8","2","4","2","1","0","0","0"
"Frank DOCHERTY","36","66","24","5","1","1","2","0","0","0","1"
"Jennifer DUNN","59","15","2","1","1","1","0","3","0","0","0"
"Steven LAIRD","5","2","5","3","3","0","0","1","3","1","0"
"Alan LEE","1","4","6","0","1","1","3","1","1","0","0"
"Elaine MCDOUGALL","15","40","67","4","3","1","0","1","0","0","0"
"Daniel O'DONNELL","5","5","6","6","0","2","0","3","0","0","0"
"Fraser PATERSON","0","2","7","5","2","1","2","0","2","3","0"
"Russell ROBERTSON","78","12","31","3","7","0","3","0","0","0","0"
"Colin RULLKOTTER","10","41","9","2","2","2","0","0","2","1","1"
"BOX 383","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","13","5","9","1","0","1","1","2","1","1","2"
"Nina BALLANTYNE","7","14","11","2","1","1","5","1","0","0","0"
"Frank DOCHERTY","37","94","31","4","1","3","0","0","0","0","0"
"Jennifer DUNN","72","19","6","6","2","0","0","1","2","2","0"
"Steven LAIRD","5","3","3","3","3","0","3","2","2","1","0"
"Alan LEE","3","5","3","1","3","5","1","0","2","0","0"
"Elaine MCDOUGALL","8","43","87","9","5","1","2","1","0","1","1"
"Daniel O'DONNELL","11","4","8","7","0","1","0","3","0","1","1"
"Fraser PATERSON","1","1","9","6","6","1","0","0","2","0","0"
"Russell ROBERTSON","102","10","35","9","1","2","0","0","1","2","1"
"Colin RULLKOTTER","15","56","5","4","1","1","0","0","0","2","3"
"BOX 385 & 386","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","13","1","6","3","2","0","3","2","3","3","8"
"Nina BALLANTYNE","14","15","27","19","3","4","3","6","1","0","2"
"Frank DOCHERTY","61","74","35","7","3","2","0","0","0","0","0"
"Jennifer DUNN","83","27","13","5","6","4","2","2","2","2","0"
"Steven LAIRD","3","4","4","3","4","3","1","2","4","4","4"
"Alan LEE","2","7","7","3","3","4","2","3","5","5","2"
"Elaine MCDOUGALL","37","47","70","16","6","2","2","0","0","0","0"
"Daniel O'DONNELL","10","5","10","8","3","5","3","2","3","4","1"
"Fraser PATERSON","3","4","9","4","1","2","6","4","3","2","2"
"Russell ROBERTSON","67","25","56","5","10","4","1","1","0","0","0"
"Colin RULLKOTTER","13","73","14","10","7","2","3","2","2","1","2"
"BOX 387","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","10","3","2","4","2","0","0","0","0","1","1"
"Nina BALLANTYNE","20","13","18","12","2","2","2","0","0","1","0"
"Frank DOCHERTY","33","38","43","3","3","3","2","1","1","0","0"
"Jennifer DUNN","34","30","7","2","0","0","0","0","1","0","0"
"Steven LAIRD","4","8","5","0","2","0","1","0","1","0","2"
"Alan LEE","2","5","3","10","4","3","0","0","0","0","0"
"Elaine MCDOUGALL","107","26","13","5","5","1","1","1","0","0","0"
"Daniel O'DONNELL","5","9","8","9","2","3","0","0","0","0","1"
"Fraser PATERSON","2","3","5","1","4","1","1","1","0","2","0"
"Russell ROBERTSON","4","38","44","8","2","3","3","2","1","0","0"
"Colin RULLKOTTER","18","28","14","4","1","1","0","0","1","1","0"
"BOX 388","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","15","3","5","2","1","1","0","2","1","1","1"
"Nina BALLANTYNE","23","14","32","13","3","0","1","1","0","0","0"
"Frank DOCHERTY","45","42","66","8","4","1","1","0","0","0","0"
"Jennifer DUNN","67","43","8","9","2","0","0","0","0","1","0"
"Steven LAIRD","7","0","7","3","0","0","1","1","1","0","2"
"Alan LEE","6","12","3","9","6","0","0","0","2","1","0"
"Elaine MCDOUGALL","120","44","20","9","3","2","0","0","0","0","0"
"Daniel O'DONNELL","6","6","13","9","4","2","1","2","0","1","1"
"Fraser PATERSON","0","2","3","4","4","5","1","0","0","0","0"
"Russell ROBERTSON","4","52","59","6","4","2","1","0","0","1","0"
"Colin RULLKOTTER","32","55","19","9","6","0","0","0","1","0","1"
"BOX 389","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","6","5","9","1","3","1","3","3","0","2","1"
"Nina BALLANTYNE","32","21","20","13","2","6","2","1","1","0","0"
"Frank DOCHERTY","52","59","51","5","5","1","0","2","2","0","0"
"Jennifer DUNN","67","40","18","5","4","0","2","1","1","1","0"
"Steven LAIRD","4","3","10","4","2","0","3","0","3","2","2"
"Alan LEE","5","7","6","6","3","5","1","3","0","2","0"
"Elaine MCDOUGALL","130","41","18","8","4","5","2","0","0","1","1"
"Daniel O'DONNELL","8","8","11","15","4","1","2","2","2","2","0"
"Fraser PATERSON","0","3","11","2","3","3","0","0","3","0","1"
"Russell ROBERTSON","2","45","65","11","9","5","2","1","0","0","3"
"Colin RULLKOTTER","23","49","20","10","2","2","3","2","1","0","1"
"BOX 390 & 391 & 392","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Keenan ALEXANDER","9","3","3","4","1","2","1","1","0","1","6"
"Nina BALLANTYNE","23","15","31","14","7","1","2","4","1","0","0"
"Frank DOCHERTY","42","44","51","5","1","1","2","2","0","0","1"
"Jennifer DUNN","44","38","10","5","7","1","2","2","1","0","0"
"Steven LAIRD","2","3","4","3","0","2","0","2","1","5","3"
"Alan LEE","4","6","5","6","3","5","3","2","3","2","0"
