"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 9 Calton",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"Duncan MILLER","1","7","15","1","2","2","0","2","0","0","0","0","0"
"Thomas RANNACHAN","4","0","5","2","1","1","1","2","1","1","0","1","0"
"George REDMOND","85","50","16","7","2","0","2","0","2","0","0","0","0"
"Andy REID","9","8","25","4","6","0","1","1","0","1","0","0","0"
"Murdo RITCHIE","1","2","14","6","3","0","3","0","0","0","1","0","0"
"Harvey SUSSOCK","3","5","6","9","4","2","1","0","2","0","0","0","1"
"Alison THEWLISS","40","54","23","9","2","2","0","0","0","1","0","1","0"
"BOX 182 & 183","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","2","6","4","0","2","1","0","0","2","0","3","3","0"
"Alexander BELIC","55","67","10","5","0","0","0","0","0","1","0","0","0"
"Martin Lewis CLARK","0","1","3","2","0","0","1","0","2","4","1","0","1"
"Scott GILLESPIE","9","4","10","1","1","0","0","0","0","2","0","2","4"
"Gordon KIRKER","5","6","2","3","0","2","0","1","2","0","2","1","0"
"Yvonne KUCUK","74","93","22","4","5","0","1","1","1","0","0","1","0"
"Duncan MILLER","3","4","18","4","3","2","2","0","0","0","0","0","0"
"Thomas RANNACHAN","3","0","6","0","3","2","1","2","0","0","2","1","3"
"George REDMOND","108","61","18","13","0","1","2","3","0","0","0","0","1"
"Andy REID","10","9","29","3","4","2","0","0","0","0","0","0","0"
"Murdo RITCHIE","6","7","16","7","1","3","1","0","2","0","1","0","0"
"Harvey SUSSOCK","1","2","4","6","3","0","2","2","0","2","0","1","0"
"Alison THEWLISS","71","49","19","2","1","1","1","0","0","0","0","0","0"
"BOX 184 & 185","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","1","4","3","1","3","0","0","0","0","0","0","2","0"
"Alexander BELIC","61","30","13","6","2","0","0","0","0","0","0","0","0"
"Martin Lewis CLARK","0","3","3","0","0","1","0","0","2","0","0","0","1"
"Scott GILLESPIE","6","3","8","1","2","1","1","3","0","0","0","0","0"
"Gordon KIRKER","17","15","6","3","1","0","1","1","0","0","1","0","0"
"Yvonne KUCUK","20","136","15","7","2","0","1","1","1","0","0","0","0"
"Duncan MILLER","23","12","17","4","2","0","1","0","1","2","0","0","0"
"Thomas RANNACHAN","5","7","1","2","1","1","0","0","0","1","2","0","0"
"George REDMOND","204","44","13","4","2","0","0","1","0","0","0","1","0"
"Andy REID","8","10","22","5","3","1","0","0","0","1","0","0","1"
"Murdo RITCHIE","1","5","13","5","0","2","1","0","0","0","1","0","0"
"Harvey SUSSOCK","2","4","6","3","1","2","1","0","0","0","0","0","1"
"Alison THEWLISS","33","55","25","4","1","1","0","0","0","0","0","1","0"
"BOX 186","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","2","0","3","0","0","0","1","0","1","0","1","1","0"
"Alexander BELIC","39","18","7","3","1","0","0","0","0","0","1","0","0"
"Martin Lewis CLARK","3","0","4","1","0","0","0","2","0","1","0","0","0"
"Scott GILLESPIE","2","6","4","6","1","0","0","0","0","0","0","1","0"
"Gordon KIRKER","18","8","17","2","0","2","1","0","1","0","0","0","0"
"Yvonne KUCUK","15","144","20","3","2","0","0","1","0","0","0","0","0"
"Duncan MILLER","8","10","8","4","1","2","1","0","0","0","0","0","0"
"Thomas RANNACHAN","1","5","11","2","0","0","1","1","0","1","1","0","0"
"George REDMOND","168","20","12","8","0","0","0","0","0","0","0","0","1"
"Andy REID","1","6","9","1","4","0","0","0","1","0","0","0","0"
"Murdo RITCHIE","0","1","9","1","1","0","0","0","0","1","0","0","0"
"Harvey SUSSOCK","0","1","4","0","1","0","0","0","1","0","0","0","1"
"Alison THEWLISS","10","26","17","7","1","0","0","0","0","0","0","1","0"
"BOX 187","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","1","0","1","1","1","1","4","0","0","1","0","0","2"
"Alexander BELIC","32","30","16","3","1","3","0","0","0","0","2","1","0"
"Martin Lewis CLARK","0","0","2","2","1","0","0","1","3","2","1","1","0"
"Scott GILLESPIE","3","5","0","2","1","0","0","1","1","2","2","1","2"
"Gordon KIRKER","3","5","5","4","3","0","2","0","3","0","0","1","0"
"Yvonne KUCUK","23","69","13","5","4","0","0","1","0","0","1","1","2"
"Duncan MILLER","46","27","24","6","4","2","0","1","1","0","1","0","0"
"Thomas RANNACHAN","2","0","4","2","0","3","1","3","0","1","1","0","0"
"George REDMOND","89","29","21","4","0","1","1","0","0","1","0","0","1"
"Andy REID","2","5","13","2","2","4","0","1","1","0","1","1","0"
"Murdo RITCHIE","1","2","7","0","2","4","2","1","1","0","0","1","0"
"Harvey SUSSOCK","1","0","4","2","3","0","3","1","0","2","1","0","0"
"Alison THEWLISS","22","24","14","11","1","0","0","1","0","1","0","1","1"
"BOX 188","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","1","1","2","1","1","1","0","0","0","0","0","0","0"
"Alexander BELIC","46","26","5","5","0","0","0","0","0","0","0","0","0"
"Martin Lewis CLARK","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Scott GILLESPIE","4","4","1","2","0","0","0","0","0","0","0","0","0"
"Gordon KIRKER","5","2","3","1","0","0","0","0","0","0","0","0","0"
"Yvonne KUCUK","32","74","8","1","1","1","0","0","0","0","0","0","0"
"Duncan MILLER","2","0","9","1","0","0","0","0","0","0","0","0","0"
"Thomas RANNACHAN","0","0","3","1","0","0","0","0","0","0","0","0","0"
"George REDMOND","88","26","8","3","2","0","0","0","0","0","0","0","0"
"Andy REID","1","2","9","4","2","0","0","0","0","0","0","0","0"
"Murdo RITCHIE","1","3","7","4","2","2","0","0","0","0","0","0","0"
"Harvey SUSSOCK","2","0","3","1","1","2","2","0","0","0","0","0","0"
"Alison THEWLISS","30","42","6","3","0","0","0","0","0","0","0","0","0"
"BOX 189","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","1","0","0","0","0","0","0","1","0","0","0","1","2"
"Alexander BELIC","35","30","12","2","2","0","1","0","0","0","1","1","0"
"Martin Lewis CLARK","0","1","2","0","0","0","0","1","1","1","1","1","0"
"Scott GILLESPIE","6","3","6","0","0","1","0","1","1","1","1","0","0"
"Gordon KIRKER","0","2","11","0","0","1","0","1","1","0","1","1","0"
"Yvonne KUCUK","44","97","6","3","0","0","0","1","0","1","0","0","0"
"Duncan MILLER","1","1","6","2","1","1","0","0","2","0","0","1","0"
"Thomas RANNACHAN","1","0","2","0","1","0","2","0","0","1","1","0","1"
"George REDMOND","103","44","1","0","0","1","1","0","1","0","0","0","0"
"Andy REID","3","3","12","0","4","0","0","0","0","0","0","0","0"
"Murdo RITCHIE","4","1","14","4","0","1","1","0","0","1","0","0","0"
"Harvey SUSSOCK","0","1","2","3","0","2","1","0","0","1","0","0","0"
"Alison THEWLISS","31","29","15","2","0","0","1","1","0","0","0","0","1"
"BOX 190 & 191","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","2","2","5","7","2","3","2","3","0","1","1","1","1"
"Alexander BELIC","43","75","18","9","3","2","0","1","0","0","0","1","0"
"Martin Lewis CLARK","0","1","3","4","1","1","1","1","2","1","2","1","1"
"Scott GILLESPIE","5","5","8","2","3","0","1","2","0","1","1","0","4"
"Gordon KIRKER","3","2","9","3","1","2","1","0","0","0","4","2","2"
"Yvonne KUCUK","88","66","9","7","1","3","1","0","0","0","0","0","1"
"Duncan MILLER","1","5","13","1","4","2","4","0","5","1","1","0","0"
"Thomas RANNACHAN","10","3","12","1","6","3","3","3","1","1","0","1","0"
"George REDMOND","80","70","22","7","2","1","1","0","1","1","0","0","0"
"Andy REID","12","8","30","11","4","4","1","2","2","2","1","1","0"
"Murdo RITCHIE","1","4","23","10","3","2","0","0","2","6","1","1","0"
"Harvey SUSSOCK","3","3","8","3","7","1","1","3","1","0","1","3","0"
"Alison THEWLISS","74","48","18","7","2","0","2","0","0","0","1","1","2"
"TOTAL POSTAL CALTON","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Gary BARTON","12","9","26","12","3","5","13","5","8","4","2","6","15"
"Alexander BELIC","136","168","84","21","9","8","4","2","3","2","3","4","7"
"Martin Lewis CLARK","5","4","14","7","5","3","8","8","8","7","8","12","3"
"Scott GILLESPIE","49","23","27","14","1","6","7","7","4","5","13","7","9"
"Gordon KIRKER","35","38","27","7","5","6","3","11","8","11","9","2","3"
"Yvonne KUCUK","269","366","62","24","3","4","3","2","2","2","3","3","1"
"Duncan MILLER","25","34","88","18","21","11","10","5","3","4","2","0","0"
"Thomas RANNACHAN","7","15","33","10","15","14","10","8","4","9","3","6","2"
"George REDMOND","480","257","73","23","7","2","2","3","4","1","1","3","3"
"Andy REID","38","28","86","25","10","11","9","10","10","7","2","2","3"
"Murdo RITCHIE","13","12","39","20","11","5","5","10","5","6","9","3","7"
"Harvey SUSSOCK","17","18","42","17","21","11","8","3","9","6","3","10","1"
"Alison THEWLISS","169","141","65","32","12","8","1","3","2","3","5","4","2"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
