"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 2 Newlands-Auldburn",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Ben THOMSON","8","12","33","9","4","3","3","1","0","0","0"
"BOX 033","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","3","3","9","6","2","2","1","0","1","0","0"
"Chris CREIGHTON","6","9","14","10","6","2","3","0","0","0","0"
"Stephen CURRAN","41","60","19","5","3","1","0","0","1","1","0"
"Colin DEANS","12","12","21","4","6","5","1","1","0","0","0"
"Josephine U DOCHERTY","54","47","13","4","0","1","2","0","0","1","2"
"Emma GILLAN","53","41","17","5","0","2","0","0","1","2","0"
"Shoaib GUL","45","43","11","4","0","1","1","1","1","1","1"
"Diane HARVEY","0","4","3","3","7","2","1","3","1","0","1"
"Robert MCELROY","20","3","7","1","4","1","0","0","3","1","2"
"Michael O'DONNELL","3","3","7","5","2","2","3","2","0","2","0"
"Ben THOMSON","8","5","40","8","8","1","1","2","1","0","1"
"BOX 034","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","2","4","16","5","5","3","5","2","1","0","1"
"Chris CREIGHTON","3","6","11","3","9","6","2","2","2","1","1"
"Stephen CURRAN","61","104","24","12","2","1","1","3","0","0","1"
"Colin DEANS","14","21","25","9","6","5","0","1","4","2","0"
"Josephine U DOCHERTY","83","52","17","9","1","1","2","1","2","2","3"
"Emma GILLAN","94","52","27","12","7","0","0","1","0","2","1"
"Shoaib GUL","52","63","27","13","4","1","1","0","3","4","2"
"Diane HARVEY","4","3","8","8","2","3","4","3","3","1","1"
"Robert MCELROY","23","9","12","4","0","1","3","2","1","1","6"
"Michael O'DONNELL","4","8","12","13","4","5","1","3","1","5","0"
"Ben THOMSON","21","14","51","10","10","5","4","1","2","1","2"
"BOX 035","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","5","10","11","6","6","0","6","1","0","1","0"
"Chris CREIGHTON","7","10","15","14","1","6","1","2","2","2","1"
"Stephen CURRAN","72","70","27","7","5","1","3","0","2","0","1"
"Colin DEANS","26","18","21","9","6","1","2","1","3","4","1"
"Josephine U DOCHERTY","77","54","19","7","1","3","1","0","1","1","0"
"Emma GILLAN","60","74","22","8","4","2","3","1","2","1","1"
"Shoaib GUL","45","65","19","9","4","2","1","0","0","1","2"
"Diane HARVEY","2","5","4","4","4","6","0","3","3","2","1"
"Robert MCELROY","45","10","9","7","3","1","1","5","1","1","3"
"Michael O'DONNELL","6","10","8","6","6","2","4","1","1","1","2"
"Ben THOMSON","18","12","50","9","5","3","1","3","1","1","0"
"BOX 036","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","1","3","5","5","4","0","1","0","2","0","0"
"Chris CREIGHTON","1","2","8","2","3","1","1","0","0","0","1"
"Stephen CURRAN","83","16","12","3","1","0","0","0","1","1","0"
"Colin DEANS","16","8","13","3","0","1","0","0","0","3","0"
"Josephine U DOCHERTY","40","37","13","3","0","1","0","0","0","0","2"
"Emma GILLAN","10","72","8","2","2","0","0","0","0","0","0"
"Shoaib GUL","29","34","10","3","1","1","2","0","0","0","0"
"Diane HARVEY","1","1","6","4","1","1","0","2","2","0","0"
"Robert MCELROY","13","0","3","1","0","3","0","1","0","0","3"
"Michael O'DONNELL","1","5","1","2","1","1","4","0","1","2","0"
"Ben THOMSON","11","6","31","7","2","1","0","4","0","0","0"
"BOX 037 & 038","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Ruth BLACK","2","1","16","6","4","1","4","2","1","2","1"
"Chris CREIGHTON","0","10","16","5","4","5","1","1","3","1","5"
"Stephen CURRAN","188","42","24","2","2","4","1","1","1","2","0"
"Colin DEANS","31","20","30","9","4","1","2","4","3","3","1"
"Josephine U DOCHERTY","87","49","18","12","4","2","1","2","0","2","2"
"Emma GILLAN","26","156","25","11","2","3","3","1","1","2","1"
"Shoaib GUL","49","77","18","9","5","1","0","0","3","2","3"
"Diane HARVEY","2","6","8","6","3","3","2","4","7","1","0"
"Robert MCELROY","26","2","11","2","1","2","1","4","1","0","8"
"Michael O'DONNELL","4","12","14","3","6","4","5","2","1","5","0"
"Ben THOMSON","15","14","49","16","7","6","5","2","2","1","0"
"BOX 039","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
