"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 15 Maryhill-Kelvin",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
"BOX 319","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","8","9","16","7","7","1","4","4"
"Euan ERSKINE","6","3","2","3","4","3","8","6"
"John LETFORD","45","32","19","6","1","4","3","2"
"Steen PARISH","11","5","25","10","4","5","1","3"
"Mohammed RAZAQ","30","107","6","7","2","4","1","0"
"Martin RHODES","120","24","19","4","2","2","2","0"
"Franny SCALLY","27","44","13","10","6","3","2","2"
"Liam TURBETT","2","6","17","5","4","4","1","3"
"BOX 320","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","20","3","10","5","5","3","3","3"
"Euan ERSKINE","7","4","10","1","4","3","3","8"
"John LETFORD","55","28","11","12","2","3","2","1"
"Steen PARISH","6","9","31","9","4","4","2","0"
"Mohammed RAZAQ","18","118","13","7","3","3","2","1"
"Martin RHODES","127","24","11","6","3","1","4","2"
"Franny SCALLY","29","52","17","3","4","1","2","1"
"Liam TURBETT","4","6","19","6","4","5","2","4"
"BOX 321 & 323","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","15","13","20","3","4","2","4","1"
"Euan ERSKINE","5","5","4","2","2","4","2","5"
"John LETFORD","47","16","10","6","5","1","1","0"
"Steen PARISH","7","6","25","10","4","2","1","1"
"Mohammed RAZAQ","56","55","9","6","2","0","3","1"
"Martin RHODES","63","52","18","4","3","3","0","1"
"Franny SCALLY","14","42","6","7","2","3","0","1"
"Liam TURBETT","1","1","10","6","1","2","4","2"
"BOX 322","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","8","6","9","1","5","3","5","0"
"Euan ERSKINE","3","2","4","4","1","5","3","9"
"John LETFORD","41","25","12","6","2","2","2","0"
"Steen PARISH","8","5","11","7","5","3","4","3"
"Mohammed RAZAQ","83","33","9","4","2","2","1","0"
"Martin RHODES","32","78","8","2","3","2","1","0"
"Franny SCALLY","28","29","16","12","3","1","0","1"
"Liam TURBETT","2","3","13","5","3","3","4","4"
"BOX 324","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","17","14","19","7","3","1","4","0"
"Euan ERSKINE","9","4","9","0","2","4","1","6"
"John LETFORD","68","47","11","9","3","1","1","0"
"Steen PARISH","9","17","28","8","4","1","3","1"
"Mohammed RAZAQ","78","41","14","6","1","0","0","0"
"Martin RHODES","37","68","20","10","0","1","0","0"
"Franny SCALLY","49","57","22","2","3","0","1","1"
"Liam TURBETT","5","5","14","9","3","5","2","2"
"BOX 325 & 326","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","13","10","24","12","7","6","8","2"
"Euan ERSKINE","11","7","8","3","6","7","8","14"
"John LETFORD","89","114","23","17","3","2","1","1"
"Steen PARISH","16","18","41","9","6","10","3","8"
"Mohammed RAZAQ","100","78","21","16","5","3","3","1"
"Martin RHODES","84","109","38","14","6","4","2","0"
"Franny SCALLY","141","84","52","8","2","1","4","3"
"Liam TURBETT","13","6","22","18","6","4","7","5"
"BOX 327","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","13","15","11","3","6","4","2","0"
"Euan ERSKINE","10","4","4","3","3","4","0","5"
"John LETFORD","41","56","10","5","6","0","0","0"
"Steen PARISH","8","5","21","7","3","3","2","0"
"Mohammed RAZAQ","31","12","13","9","2","4","3","0"
"Martin RHODES","19","39","12","8","3","1","4","3"
"Franny SCALLY","74","41","9","6","2","1","0","1"
"Liam TURBETT","6","5","12","12","2","2","2","3"
"BOX 328","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","8","19","21","16","4","2","5","0"
"Euan ERSKINE","8","3","6","6","5","2","1","10"
"John LETFORD","66","20","24","11","4","1","1","0"
"Steen PARISH","54","22","44","21","1","2","3","0"
"Mohammed RAZAQ","31","48","26","12","6","2","1","0"
"Martin RHODES","45","33","22","10","4","4","2","3"
"Franny SCALLY","18","66","19","21","2","4","1","0"
"Liam TURBETT","13","18","15","16","2","2","2","0"
"BOX 329","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","9","13","12","13","3","5","8","0"
"Euan ERSKINE","5","4","3","4","4","7","3","10"
"John LETFORD","54","28","17","12","5","1","3","1"
"Steen PARISH","24","15","35","17","5","3","4","2"
"Mohammed RAZAQ","50","43","12","9","5","4","2","1"
"Martin RHODES","39","45","23","14","6","2","0","2"
"Franny SCALLY","32","57","16","9","5","0","2","3"
"Liam TURBETT","9","8","22","15","4","6","2","4"
"TOTAL POSTAL MARYHILL/KELVIN","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    "
"Alex DINGWALL","142","141","102","49","35","16","33","11"
"Euan ERSKINE","184","56","65","24","19","23","22","51"
"John LETFORD","318","174","95","53","19","18","13","8"
"Steen PARISH","89","89","207","79","42","27","18","12"
"Mohammed RAZAQ","237","342","93","67","23","15","8","7"
"Martin RHODES","397","281","103","48","22","21","14","3"
"Franny SCALLY","139","267","116","53","26","15","14","8"
"Liam TURBETT","34","28","90","54","23","27","19","36"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,

