"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 10 Anderston-City",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,
"Alexander MCDOWELL","2","3","4","8","7","5","3","2","2","1","0"
"John Moir Bingham ROBERTSON","2","4","1","1","2","0","2","3","1","2","4"
"BOX 200","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","56","17","52","11","8","3","0","2","0","0","0"
"David Scott BARNES","9","6","8","6","3","2","3","1","1","2","0"
"Philip BRAAT","42","44","17","7","1","3","2","0","0","0","0"
"Graham CAMPBELL","8","5","12","2","0","8","2","1","1","2","1"
"Martin John DOCHERTY","60","44","24","8","1","2","0","0","0","1","0"
"Rob HARRIS","2","4","8","11","2","0","0","4","1","2","0"
"Ewan HOYLE","2","11","14","5","6","2","2","0","2","0","0"
"Craig MACKAY","38","68","15","11","6","1","0","0","1","0","1"
"Gordon MATHESON","36","34","25","2","4","2","0","2","0","0","0"
"Alexander MCDOWELL","1","3","7","4","4","0","3","1","3","2","0"
"John Moir Bingham ROBERTSON","0","0","3","1","2","1","2","1","3","0","4"
"BOX 202","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    "
"Nina BAKER","13","8","22","6","6","0","1","0","1","0","1"
"David Scott BARNES","7","6","2","1","1","3","0","2","1","0","2"
"Philip BRAAT","118","8","9","4","0","0","0","1","1","1","0"
"Graham CAMPBELL","4","4","9","5","2","2","1","1","0","1","0"
"Martin John DOCHERTY","25","31","11","8","4","0","1","0","0","2","0"
"Rob HARRIS","2","2","6","2","2","1","1","3","1","3","0"
"Ewan HOYLE","0","2","9","2","0","5","2","1","2","0","1"
"Craig MACKAY","25","24","3","6","5","0","1","2","2","0","1"
"Gordon MATHESON","6","68","6","7","2","0","1","1","1","1","1"
"Alexander MCDOWELL","1","3","4","2","3","3","2","1","0","2","0"
"John Moir Bingham ROBERTSON","0","1","1","2","0","1","3","1","2","0","3"
