"LIVE ELECTIONS MAY 2012",,,,,,,,,,,,,
"First Preference By Ballot Box Report",,,,,,,,,,,,,
"Ward 12 Partick West",,,,,,,,,,,,,
04/05/2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"Martin BARTOS",76,42,96,11,9,2,1,0,1,0,1,0,0
"Nicholas Alexander BLACK",1,1,5,4,1,4,1,2,1,0,0,0,0
"Aileen COLLERAN",107,45,22,22,5,3,1,0,0,0,0,0,0
"Feargal DALTON",46,76,29,13,2,3,0,0,1,0,1,0,0
"CATHERINE FINDLAY",1,6,7,1,0,0,0,0,0,0,2,0,0
"ROBERT FINDLAY",1,2,5,7,1,0,0,0,1,0,0,1,0
"Andrew GRAY",3,8,16,25,1,4,1,0,0,1,0,0,1
"Stuart James MASKELL",1,5,6,3,1,0,1,0,1,0,0,1,0
"Kenny MCLEAN",77,52,24,11,4,2,0,0,0,0,0,1,0
"James PARIS",23,18,17,22,6,2,3,2,0,0,0,0,0
"Michael Graeme SHANKS",16,90,40,14,14,2,0,0,0,1,0,0,0
"Donald WILLIAMSON",4,4,2,4,2,0,0,0,0,1,0,1,1
"TOTAL POSTAL PARTICK WEST","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"John ANDERSON",247,70,54,34,9,6,5,4,1,4,4,0,16
"Martin BARTOS",184,125,226,63,25,6,14,5,4,1,2,4,0
"Nicholas Alexander BLACK",7,20,53,33,14,12,4,11,4,6,4,2,1
"Aileen COLLERAN",380,261,95,37,22,13,4,4,3,4,0,1,0
"Feargal DALTON",289,262,61,44,13,7,0,3,2,0,2,9,3
"CATHERINE FINDLAY",10,58,62,15,21,8,6,5,4,6,6,6,1
"ROBERT FINDLAY",6,29,55,37,10,17,4,2,8,7,7,5,2
"Andrew GRAY",14,23,62,28,20,8,3,7,4,2,3,2,4
"Stuart James MASKELL",11,33,37,23,10,10,5,8,5,5,7,3,4
"Kenny MCLEAN",224,229,90,37,13,4,6,2,4,3,4,4,5
"James PARIS",90,82,93,60,20,7,12,9,4,5,4,5,1
"Michael Graeme SHANKS",209,275,102,47,19,8,9,3,7,2,3,1,0
"Donald WILLIAMSON",11,22,33,18,13,13,6,2,5,7,4,6,7
,,,,,,,,,,,,,
"NB The STV election results cannot be calculated from these numbers.",,,,,,,,,,,,,
